,Country,Quality of Life Index,Safety Index,Health Care Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
0, Switzerland ,190.82,78.65,74.47,8.42,28.73,20.09,80.05,131.75,55.05,133.36,126.08,110.96
1, Denmark ,190.01,73.28,79.96,6.66,28.69,20.4,81.8,91.67,36.18,72.62,104.92,94.73
2, Netherlands ,183.31,72.78,75.76,7.35,27.81,25.28,87.11,78.64,39.31,61.63,81.62,83.89
3, Finland ,182.79,72.99,76.4,8.64,28.96,11.86,56.64,77.46,28.04,65.6,81.22,89.05
4, Austria ,182.37,74.77,78.4,10.4,25.68,19.2,77.79,75.49,28.42,67.62,70.98,78.23
5, Australia ,181.52,57.56,77.71,7.38,35.04,23.48,92.7,84.14,38.38,81.14,76.28,99.29
6, Iceland ,179.1,75.87,65.69,6.31,19.98,16.24,68.81,96.77,43.17,88.84,102.24,71.88
7, Germany ,176.76,64.58,73.77,9.12,31.36,27.48,82.97,70.62,29.64,54.69,65.0,93.72
8, New Zealand ,175.77,57.74,73.58,8.09,30.7,23.81,96.35,79.14,35.38,75.03,69.18,81.44
9, Norway ,173.57,66.65,75.5,8.49,26.87,18.14,68.68,106.09,36.18,100.59,105.9,79.43
10, Estonia ,173.56,76.62,72.83,9.11,24.72,19.01,64.28,56.45,16.27,43.35,56.27,61.22
11, Oman ,172.08,79.74,58.42,5.75,23.02,37.59,67.22,50.18,17.32,46.9,41.88,84.45
12, Sweden ,171.4,52.8,68.8,8.56,29.89,18.44,74.92,79.17,28.08,71.67,77.23,90.55
13, Slovenia ,168.2,78.21,65.28,10.89,26.79,22.65,77.56,59.38,18.88,51.46,47.86,56.14
14, United States ,166.98,52.26,69.03,3.99,32.89,38.89,77.28,71.92,41.14,70.24,69.42,102.58
15, Spain ,164.48,66.87,78.8,9.59,29.38,39.62,93.18,59.09,23.59,48.74,56.99,62.68
16, Japan ,162.32,78.05,80.68,13.04,39.85,39.4,85.27,87.77,28.03,90.47,49.74,76.53
17, Portugal ,161.91,70.11,71.93,12.65,29.64,29.57,97.72,52.88,22.31,42.01,43.24,44.96
18, Lithuania ,160.02,66.16,70.97,10.97,25.67,27.01,69.86,47.66,14.63,37.28,45.96,54.6
19, Canada ,159.99,58.81,71.8,7.53,33.72,28.13,56.75,70.08,32.48,68.5,63.96,82.76
20, United Kingdom ,158.99,54.74,74.93,9.57,34.44,40.25,88.04,71.03,31.61,56.38,74.69,82.56
21, Czech Republic ,156.33,74.69,75.37,15.46,29.72,36.3,77.13,49.18,19.81,42.76,34.68,56.4
22, Croatia ,156.1,75.09,64.23,14.2,28.13,30.58,89.69,56.36,14.94,49.1,46.13,43.13
23, United Arab Emirates ,156.03,84.65,68.02,4.93,36.31,50.44,45.23,61.67,40.62,48.84,61.25,85.74
24, Qatar ,154.58,87.71,73.0,5.97,30.45,60.18,36.03,64.23,46.59,56.72,62.58,93.12
25, Belgium ,150.89,55.83,75.2,6.91,36.24,50.27,86.03,78.52,26.84,67.33,82.4,76.54
26, Ireland ,150.89,54.98,52.78,7.4,37.7,33.59,89.13,83.11,45.42,67.8,82.34,73.84
